,location,,address,adname,cityname,id,importance,name,pname,tel,type,typecode,X,Y
70,"117.280520,31.856280",,合作经济广场9层,庐阳区,合肥市,B0FFG4OBUL,[],康乾影城,安徽省,0551-64316588,体育休闲服务;影剧院;电影院,80601,117.28052,31.85628
71,"87.569729,43.839108",,[],沙依巴克区,乌鲁木齐市,B0FFGFZOEU,[],华纳国际影城,新疆维吾尔自治区,0991-8725996,体育休闲服务;影剧院;电影院,80601,87.569729,43.839108
72,"117.209292,31.781689",,繁华大道与翡翠路交叉口中环购物中心F3层,蜀山区,合肥市,B022716247,[],中影·国际影城(中环店),安徽省,0551-65860766;0551-65860622;0551-5860766,体育休闲服务;影剧院;电影院,80601,117.209292,31.781689
73,"111.680733,40.797336",,鄂尔多斯大街32号嘉茂购物中心4层,赛罕区,呼和浩特市,B01D70P6H2,[],金逸国际电影城(凯德MALL店),内蒙古自治区,0471-5963802;0471-5965009;0471-5960303,体育休闲服务;影剧院;电影院,80601,111.680733,40.797336
74,"117.281210,31.855003",,桐城路136号,庐阳区,合肥市,B022703CJ9,[],安徽省黄梅戏剧院,安徽省,0551-62644166;0551-62640166;0551-62676856,体育休闲服务;影剧院;电影院,80601,117.28121,31.855003
75,"117.219058,31.841076",,黄山路与怀宁路交口1912街区1号楼,蜀山区,合肥市,B0227161GP,[],中影国际影城(1912店),安徽省,0551-65503535;0551-65503131,体育休闲服务;影剧院;电影院,80601,117.219058,31.841076
76,"112.197759,27.466857",,沿河北路湄水湾综合楼4层,双峰县,娄底市,B0FFGDHV01,[],湄水湾影院,湖南省,0738-6839988,体育休闲服务;影剧院;电影院,80601,112.197759,27.466857
77,"115.968097,28.675015",,北京东路1819号达观国际广场4层,青山湖区,南昌市,B03170TQ1A,[],万达影城(达观广场店),江西省,0791-88337697;0791-88181677,体育休闲服务;影剧院;电影院,80601,115.968097,28.675015
78,"107.141559,34.372138",,经二路93号百合新天地4层,渭滨区,宝鸡市,B0FFFRL5EP,[],万达影城(宝鸡经二路店),陕西省,0917-3221155;0917-3229922,体育休闲服务;影剧院;电影院,80601,107.141559,34.372138
79,"109.26696,22.68108",,槎江路45号,横县,南宁市,B0303056H2,[],横县电影院(槎江路店),广西壮族自治区,0771-7230318,体育休闲服务;影剧院;电影院,80601,109.26696,22.68108
80,"112.40776,34.654546",,辽宁路170号万达商业广场4层,涧西区,洛阳市,B017B02KCR,[],万达影城(洛阳万达广场店),河南省,0379-65581888;4000806060,体育休闲服务;影剧院;电影院,80601,112.40776,34.654546
81,"112.914337,28.203306",,玉兰路444号达美D6区3栋3层,岳麓区,长沙市,B0FFH84D4S,[],巨米影吧,湖南省,0731-82886810;18674829906;0731-82732888,体育休闲服务;影剧院;电影院,80601,112.914337,28.203306
82,"114.294798,35.732937",,鹤煤大道银兴国际广场5层,淇滨区,鹤壁市,B01880LWFB,[],新华银兴国际影城(银兴国际广场店),河南省,0392-3227999,体育休闲服务;影剧院;电影院,80601,114.294798,35.732937
83,"106.282767,38.462083",,新华东街227号东方红广场8层,兴庆区,银川市,B03B703SSC,[],万达影城(东方红广场店),宁夏回族自治区,0951-5088555;0951-6099508;4000806060,体育休闲服务;影剧院;电影院,80601,106.282767,38.462083
84,"108.334953,22.813737",,民族大道49号新梦之岛5层,青秀区,南宁市,B0FFF0GACL,[],泰和民族宫电影城(梦之岛百货店),广西壮族自治区,0771-2830108;0771-2639973,体育休闲服务;影剧院;电影院,80601,108.334953,22.813737
85,"117.214292,29.283331",,广场南路皇冠购物广场西三区6号楼(庆和楼旁),珠山区,景德镇市,B0FFHL3Q29,[],金幕国际影城(广场南路店),江西省,0798-8621888,体育休闲服务;影剧院;电影院,80601,117.214292,29.283331
86,"108.819613,23.2124",,商贸城广场南路小花园东面,宾阳县,南宁市,B030302HGH,[],城建·时代电影城,广西壮族自治区,0771-8240288,体育休闲服务;影剧院;电影院,80601,108.819613,23.2124
87,"112.195786,27.460040",,育才路与工农路交叉口汇丰步行街2期广场3层,双峰县,娄底市,B0FFGBFV92,[],红鹰国际影城,湖南省,0738-8989777,体育休闲服务;影剧院;电影院,80601,112.195786,27.46004
88,"111.670514,40.814950",,锡林郭勒南路海亮广场C座13层1318号,回民区,呼和浩特市,B0FFHCU8WQ,[],流年私人影院,内蒙古自治区,15661174017;13674757677,体育休闲服务;影剧院;电影院,80601,111.670514,40.81495
89,"112.973154,28.146790",,书院南路万事佳景园2栋1106,天心区,长沙市,B0FFHK65JQ,[],0818影咖,湖南省,18670065505;18573155411,体育休闲服务;影剧院;电影院,80601,112.973154,28.14679
90,"108.346481,22.796060",,国立商业城综合楼4层,青秀区,南宁市,B0FFG03YYU,[],大地广湛影院,广西壮族自治区,0771-3382269;0771-3381239,体育休闲服务;影剧院;电影院,80601,108.346481,22.79606
91,"112.994711,28.167549",,韶山中路1号潇影大厦东塘荟5层,雨花区,长沙市,B0FFGHOW26,[],潇湘国际影城(东塘店),湖南省,0731-88711777,体育休闲服务;影剧院;电影院,80601,112.994711,28.167549
92,"112.193187,27.453889",,永丰镇复兴街农贸市场对面,双峰县,娄底市,B02E20NNJT,[],华谊影城(双峰店),湖南省,0738-6825589;0738-6825066,体育休闲服务;影剧院;电影院,80601,112.193187,27.453889
93,"112.553488,37.824805",,平阳路186号顶好时尚商城2层,小店区,太原市,B0FFHK9QLM,[],完美世界影城(顶好店),山西省,0351-7333996;0351-7333577,体育休闲服务;影剧院;电影院,80601,112.553488,37.824805
94,"113.114891,36.193593",,英雄中路91号,潞州区,长治市,B0163002C9,[],潞州剧院,山西省,0355-2024123,体育休闲服务;影剧院;电影院|体育休闲服务;影剧院;剧场,080601|080603,113.114891,36.193593
95,"108.370212,22.830695",,东葛路延长线118号万达广场5F层,青秀区,南宁市,B0FFFS4VRA,[],万达影城(南宁青秀万达广场店),广西壮族自治区,0771-5732682,体育休闲服务;影剧院;电影院,80601,108.370212,22.830695
96,"112.750505,34.726455",,杜甫大道上海国际商贸城E3区1层,偃师市,洛阳市,B017B0PIPV,[],中影国际影城(上海国际商贸城店),河南省,0379-69653777,体育休闲服务;影剧院;电影院,80601,112.750505,34.726455
97,"112.0065,27.719705",,氐星路星海名都裙楼1层,娄星区,娄底市,B02E20NNJR,[],中影国际影城(娄底店),湖南省,0738-8188588,体育休闲服务;影剧院;电影院,80601,112.0065,27.719705
98,"113.032417,28.189889",,万家丽国际Mall8层,芙蓉区,长沙市,B0FFH2NSZM,[],中影星美国际影城(万家丽店),湖南省,0731-89668555,体育休闲服务;影剧院;电影院,80601,113.032417,28.189889
99,"112.916999,27.902311",,湘潭科技大学北校门岚天阳光汇商业广场3层,雨湖区,湘潭市,B0FFFNN27J,[],华纳影院,湖南省,15573222255,体育休闲服务;影剧院;电影院,80601,112.916999,27.902311
100,"112.442497,34.828672",,小浪底路107号致和时代广场5层,孟津县,洛阳市,B0FFG3DGX8,[],奥斯卡影城,河南省,0379-67805599;0379-67806699,体育休闲服务;影剧院;电影院,80601,112.442497,34.828672
101,"123.412256,41.786462",,马路湾光荣街10号,和平区,沈阳市,B001816DS0,[],七星国际影城(光荣街店),辽宁省,024-83217777;024-83217717,体育休闲服务;影剧院;电影院,80601,123.412256,41.786462
102,"122.108818,30.015016",,文化广场18号3层,定海区,舟山市,B024400B9S,[],舟山影城(文化广场店),浙江省,0580-2028208,体育休闲服务;影剧院;电影院,80601,122.108818,30.015016
103,"112.565508,37.824071",,亲贤北街79号茂业天地1期L6层,小店区,太原市,B0FFG59X7L,[],博纳国际影城(茂业天地1期),山西省,0351-7581999,体育休闲服务;影剧院;电影院,80601,112.565508,37.824071
104,"112.933179,28.218890",,金星中路383号长沙王府井FAMILYPARK购物中心6F层,岳麓区,长沙市,B0FFGLNOY5,[],卢米埃影城(长沙王府井FAMILYPARK购物中心),湖南省,0731-82250146;0731-10105335,体育休闲服务;影剧院;电影院,80601,112.933179,28.21889
105,"112.979949,28.251295",,金泰路199号世纪金源购物中心1层,开福区,长沙市,B02DB081DE,[],沃美影城(世纪金源购物中心店),湖南省,0731-85867878,体育休闲服务;影剧院;电影院,80601,112.979949,28.251295
106,"112.943826,28.16881",,麓山南路229号渔湾码头4层,岳麓区,长沙市,B02DB0UDW2,[],潇湘国际影城(天马店),湖南省,0731-82857555,体育休闲服务;影剧院;电影院,80601,112.943826,28.16881
107,"117.22187,31.820646",,南二环路3818号万达广场娱乐楼4层,蜀山区,合肥市,B022715XY1,[],万达影城(天鹅湖万达广场店),安徽省,0551-63718100;4000806060,体育休闲服务;影剧院;电影院,80601,117.22187,31.820646
108,"112.935608,28.218417",,金星中路428号步步高商业广场9层,岳麓区,长沙市,B02DB0UWAR,[],万达影城(步步高广场店),湖南省,0731-88959722,体育休闲服务;影剧院;电影院,80601,112.935608,28.218417
109,"112.994986,28.154752",,韶山中路421号长沙深国投商业中心2层,雨花区,长沙市,B02DB07JTP,[],中影·国际影城(凯德广场店),湖南省,0731-82921300;0731-82921322;4006303011,体育休闲服务;影剧院;电影院,80601,112.994986,28.154752
110,"115.849593,28.693073",,会展路999号万达百货3层,东湖区,南昌市,B0FFFTQ998,[],万达影城,江西省,0791-83833801;0791-83892295,体育休闲服务;影剧院;电影院,80601,115.849593,28.693073
111,"117.209059,31.791104",,翡翠路与芙蓉路交口往北50米处港澳广场L4层,蜀山区,合肥市,B022715Z49,[],大地影院(港澳购物中心店),安徽省,0551-63770250,体育休闲服务;影剧院;电影院,80601,117.209059,31.791104
112,"117.256428,31.853291",,长江西路199号国购广场3层,蜀山区,合肥市,B02270JHEL,[],凯得利影城(三里庵国购广场店),安徽省,0551-65133322;0551-65133377;0551-65105588,体育休闲服务;影剧院;电影院,80601,117.256428,31.853291
113,"111.735587,40.836308",,新华东街26万达广场4层,赛罕区,呼和浩特市,B01D70OW9O,[],万达影城(呼和浩特万达广场店),内蒙古自治区,0471-6924555;0471-3371555,体育休闲服务;影剧院;电影院,80601,111.735587,40.836308
114,"112.556711,37.818182",,长风街705号和信商座6层,小店区,太原市,B015F0ITS1,[],中影·国际影城(长风街和信广场店),山西省,0351-7527118;0351-7526928,体育休闲服务;影剧院;电影院,80601,112.556711,37.818182
115,"112.455623,34.612553",,牡丹大道166号泉舜购物公园3层,洛龙区,洛阳市,B0FFGG8A6L,[],万达影城(世茂广场店),河南省,0379-63002777;4000806060;15236652510,体育休闲服务;影剧院;电影院,80601,112.455623,34.612553
116,"113.086375,28.206548",,马坡岭街道远大路与红旗路交汇处汇一城C栋3层301号商铺,芙蓉区,长沙市,B0FFHFYXR0,[],中影佳昇国际影城,湖南省,0731-86907678,体育休闲服务;影剧院;电影院,80601,113.086375,28.206548
117,"111.650449,40.817131",,牛街维多利生活广场3层,回民区,呼和浩特市,B01D702SB9,[],万达影城,内蒙古自治区,0471-6924555;0471-6360555;0471-6360941,体育休闲服务;影剧院;电影院,80601,111.650449,40.817131
118,"117.21487,29.29501",,人民广场瓷都新天地5层,珠山区,景德镇市,B031E13S13,[],横店国际影城(新天地店),江西省,0798-8478666;0798-8587555,体育休闲服务;影剧院;电影院,80601,117.21487,29.29501
119,"120.54311,31.863214",,张家港步行街58号3层,张家港市,苏州市,B020008CXJ,[],世纪巨星电影城(张家港步行街店),江苏省,0512-58223127;0512-58224960,体育休闲服务;影剧院;电影院,80601,120.54311,31.863214
120,"113.019098,28.109285",,湘府东路二段459号梦和商业广场4层,雨花区,长沙市,B02DB0W7U3,[],太平洋影城(长沙湘府店),湖南省,0731-89795599,体育休闲服务;影剧院;电影院,80601,113.019098,28.109285
121,"112.408212,34.644206",,南昌路139号王府井购物中心6F层,涧西区,洛阳市,B0FFFRH9AG,[],卢米埃影城(王府井购物中心),河南省,0379-69966077;4006010618,体育休闲服务;影剧院;电影院,80601,112.408212,34.644206
122,"113.848998,27.621189",,西门八一西路21号,安源区,萍乡市,B031F009QN,[],萍乡国际数字电影城(八一西路店),江西省,0799-6833731,体育休闲服务;影剧院;电影院,80601,113.848998,27.621189
